time,dBm
2025-11-13T19:58:14.852215Z,-94.12
2025-11-13T19:58:14.853215Z,-93.31
2025-11-13T19:58:14.854215Z,-93.10
2025-11-13T19:58:14.855215Z,-93.37
2025-11-13T19:58:14.856215Z,-94.12
2025-11-13T19:58:14.857215Z,-92.17
2025-11-13T19:58:14.858215Z,-93.99
2025-11-13T19:58:14.859215Z,-94.85
2025-11-13T19:58:14.860215Z,-95.35
2025-11-13T19:58:14.861215Z,-87.43
2025-11-13T19:58:14.862215Z,-91.75
2025-11-13T19:58:14.863215Z,-91.62
2025-11-13T19:58:14.864215Z,-93.96
2025-11-13T19:58:14.865215Z,-93.89
2025-11-13T19:58:14.866215Z,-94.13
2025-11-13T19:58:14.867215Z,-92.51
2025-11-13T19:58:14.868215Z,-92.24
2025-11-13T19:58:14.869215Z,-94.37
2025-11-13T19:58:14.870215Z,-93.83
2025-11-13T19:58:14.871215Z,-94.38
2025-11-13T19:58:14.872215Z,-91.77
2025-11-13T19:58:14.873215Z,-93.18
2025-11-13T19:58:14.874215Z,-93.84
2025-11-13T19:58:14.875215Z,-95.50
2025-11-13T19:58:14.876215Z,-93.44
2025-11-13T19:58:14.877215Z,-92.36
2025-11-13T19:58:14.878215Z,-92.85
2025-11-13T19:58:14.879215Z,-93.83
2025-11-13T19:58:14.880215Z,-93.81
2025-11-13T19:58:14.881215Z,-90.72
2025-11-13T19:58:14.882215Z,-92.41
2025-11-13T19:58:14.883215Z,-93.65
2025-11-13T19:58:14.884215Z,-90.71
2025-11-13T19:58:14.885215Z,-92.84
2025-11-13T19:58:14.886215Z,-93.62
2025-11-13T19:58:14.887215Z,-93.94
2025-11-13T19:58:14.888215Z,-93.30
2025-11-13T19:58:14.889215Z,-94.22
2025-11-13T19:58:14.890215Z,-93.02
2025-11-13T19:58:14.891215Z,-94.15
2025-11-13T19:58:14.892215Z,-94.74
2025-11-13T19:58:14.893215Z,-92.48
2025-11-13T19:58:14.894215Z,-91.75
2025-11-13T19:58:14.895215Z,-93.68
2025-11-13T19:58:14.896215Z,-91.69
2025-11-13T19:58:14.897215Z,-93.55
2025-11-13T19:58:14.898215Z,-90.79
2025-11-13T19:58:14.899215Z,-93.60
2025-11-13T19:58:14.900215Z,-92.78
2025-11-13T19:58:14.901215Z,-94.19
2025-11-13T19:58:14.902215Z,-92.77
2025-11-13T19:58:14.903215Z,-95.45
2025-11-13T19:58:14.904215Z,-93.45
2025-11-13T19:58:14.905215Z,-92.66
2025-11-13T19:58:14.906215Z,-93.28
2025-11-13T19:58:14.907215Z,-92.11
2025-11-13T19:58:14.908215Z,-91.71
2025-11-13T19:58:14.909215Z,-92.20
2025-11-13T19:58:14.910215Z,-93.74
2025-11-13T19:58:14.911215Z,-92.57
2025-11-13T19:58:14.912215Z,-92.80
2025-11-13T19:58:14.913215Z,-93.89
2025-11-13T19:58:14.914215Z,-92.74
2025-11-13T19:58:14.915215Z,-93.55
2025-11-13T19:58:14.916215Z,-92.75
