time,dBm
2025-11-13T19:58:13.556876Z,-64.02
2025-11-13T19:58:13.557876Z,-57.56
2025-11-13T19:58:13.558876Z,-65.38
2025-11-13T19:58:13.559876Z,-50.54
2025-11-13T19:58:13.560876Z,-60.33
2025-11-13T19:58:13.561876Z,-54.08
2025-11-13T19:58:13.562876Z,-63.49
2025-11-13T19:58:13.563876Z,-61.56
2025-11-13T19:58:13.564876Z,-59.72
2025-11-13T19:58:13.565876Z,-55.72
2025-11-13T19:58:13.566876Z,-65.69
2025-11-13T19:58:13.567876Z,-68.36
2025-11-13T19:58:13.568876Z,-62.55
2025-11-13T19:58:13.569876Z,-66.47
2025-11-13T19:58:13.570876Z,-62.62
2025-11-13T19:58:13.571876Z,-57.45
2025-11-13T19:58:13.572876Z,-69.52
2025-11-13T19:58:13.573876Z,-60.67
2025-11-13T19:58:13.574876Z,-62.52
2025-11-13T19:58:13.575876Z,-62.73
2025-11-13T19:58:13.576876Z,-61.72
2025-11-13T19:58:13.577876Z,-66.20
2025-11-13T19:58:13.578876Z,-66.90
2025-11-13T19:58:13.579876Z,-62.38
2025-11-13T19:58:13.580876Z,-58.51
2025-11-13T19:58:13.581876Z,-60.46
2025-11-13T19:58:13.582876Z,-53.09
2025-11-13T19:58:13.583876Z,-68.20
2025-11-13T19:58:13.584876Z,-58.43
2025-11-13T19:58:13.585876Z,-62.33
2025-11-13T19:58:13.586876Z,-61.35
2025-11-13T19:58:13.587876Z,-64.71
2025-11-13T19:58:13.588876Z,-56.63
2025-11-13T19:58:13.589876Z,-68.65
2025-11-13T19:58:13.590876Z,-58.78
2025-11-13T19:58:13.591876Z,-57.01
2025-11-13T19:58:13.592876Z,-62.85
2025-11-13T19:58:13.593876Z,-76.95
2025-11-13T19:58:13.594876Z,-58.53
2025-11-13T19:58:13.595876Z,-60.40
2025-11-13T19:58:13.596876Z,-63.90
2025-11-13T19:58:13.597876Z,-55.02
2025-11-13T19:58:13.598876Z,-64.03
2025-11-13T19:58:13.599876Z,-52.40
2025-11-13T19:58:13.600876Z,-63.89
2025-11-13T19:58:13.601876Z,-65.43
2025-11-13T19:58:13.602876Z,-53.12
2025-11-13T19:58:13.603876Z,-62.44
2025-11-13T19:58:13.604876Z,-67.01
2025-11-13T19:58:13.605876Z,-61.32
2025-11-13T19:58:13.606876Z,-64.42
2025-11-13T19:58:13.607876Z,-61.62
2025-11-13T19:58:13.608876Z,-61.37
2025-11-13T19:58:13.609876Z,-64.93
2025-11-13T19:58:13.610876Z,-68.21
2025-11-13T19:58:13.611876Z,-67.41
2025-11-13T19:58:13.612876Z,-67.97
2025-11-13T19:58:13.613876Z,-51.72
2025-11-13T19:58:13.614876Z,-62.31
2025-11-13T19:58:13.615876Z,-61.58
2025-11-13T19:58:13.616876Z,-58.25
2025-11-13T19:58:13.617876Z,-61.47
2025-11-13T19:58:13.618876Z,-57.03
2025-11-13T19:58:13.619876Z,-56.15
2025-11-13T19:58:13.620876Z,-59.94
2025-11-13T19:58:13.621876Z,-60.66
2025-11-13T19:58:13.622876Z,-59.81
2025-11-13T19:58:13.623876Z,-59.01
2025-11-13T19:58:13.624876Z,-58.27
2025-11-13T19:58:13.625876Z,-60.30
2025-11-13T19:58:13.626876Z,-61.89
2025-11-13T19:58:13.627876Z,-63.60
2025-11-13T19:58:13.628876Z,-64.55
2025-11-13T19:58:13.629876Z,-61.45
2025-11-13T19:58:13.630876Z,-69.15
2025-11-13T19:58:13.631876Z,-62.73
2025-11-13T19:58:13.632876Z,-61.82
2025-11-13T19:58:13.633876Z,-62.23
2025-11-13T19:58:13.634876Z,-62.72
2025-11-13T19:58:13.635876Z,-64.11
2025-11-13T19:58:13.636876Z,-60.59
2025-11-13T19:58:13.637876Z,-60.95
2025-11-13T19:58:13.638876Z,-68.63
2025-11-13T19:58:13.639876Z,-51.24
2025-11-13T19:58:13.640876Z,-73.73
2025-11-13T19:58:13.641876Z,-51.65
2025-11-13T19:58:13.642876Z,-59.01
2025-11-13T19:58:13.643876Z,-65.44
